2018-10-2611:11,220,2,getPersons,tor,i-035bf9871bfd2e7e2,8000,6000,10,20,80,70,120
2018-10-2611:11,240,5,getVehicles,tor,i-035bf9871bfd2e7e2,8000,6000,10,20,80,70,120
2018-10-2611:11,140,1,getSets,tor,i-035bf9871bfd2e6ez,8000,7000,8,20,90,80,90
2018-10-2611:11,340,7,createPersons,tor,i-035bf9871bfd2e7e2,8000,6000,10,20,80,70,120
2018-10-2611:11,230,9,createVehicles,tor,i-035bf9871bfd2e7e2,8000,6000,10,20,80,70,120
2018-10-2611:11,250,3,createSets,tor,i-035bf9871bfd2e6ez,8000,7000,8,20,90,80,90
2018-10-2611:12,220,2,getPersons,tor,i-035bf9871bfd2e7e2,8000,8000,10,20,80,70,120
2018-10-2611:12,240,5,getVehicles,tor,i-035bf9871bfd2e7e2,8000,8000,10,20,80,70,120
2018-10-2611:12,140,1,getSets,tor,i-035bf9871bfd2e6ez,8000,7500,20,20,90,80,90
2018-10-2611:12,340,7,createPersons,tor,i-035bf9871bfd2e7e2,8000,8000,10,20,80,70,120
2018-10-2611:12,230,9,createVehicles,tor,i-035bf9871bfd2e7e2,8000,8000,10,20,80,70,120
2018-10-2611:12,250,3,createSets,tor,i-035bf9871bfd2e6ez,8000,7500,20,20,90,80,90
2018-10-2611:13,220,2,getPersons,tor,i-035bf9871bfd2e7e2,8000,6000,10,20,80,70,120
2018-10-2611:13,240,5,getVehicles,tor,i-035bf9871bfd2e7e2,8000,6000,10,20,80,70,120
2018-10-2611:13,140,1,getSets,tor,i-035bf9871bfd2e6ez,8000,7000,8,20,90,80,90
2018-10-2611:13,340,7,createPersons,tor,i-035bf9871bfd2e7e2,8000,6000,10,20,80,70,120
2018-10-2611:13,230,9,createVehicles,tor,i-035bf9871bfd2e7e2,8000,6000,10,20,80,70,120
2018-10-2611:13,250,3,createSets,tor,i-035bf9871bfd2e6ez,8000,7000,8,20,90,80,90
